consent_1,consentint2,ai_int1,ai_int2,ai_int3,ai_quiz1,ai_quiz2,ai_quiz3,ai_quiz4,ai_quiz5,ai_quiz6,ai_int4,ai_int5,ai_decision,ai_action,ia_int1,ia_int2,ia_int3,ia_quiz1,ia_quiz2,ia_quiz3,ia_quiz4,ia_quiz5,ia_quiz6,ia_int4,ia_int5,ia_decision,ia_action,am_int1,am_int2,am_int3,am_quiz1,am_quiz2,am_quiz3,am_int4,am_int5,am_decision,am_explain,am_noaction,am_proceed,am_terminate,age,gender
1,1,1,1,1,3,1,2,1,1,2,1,1,55,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,29,2
1,1,1,1,1,3,1,2,1,1,2,1,1,70,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,42,2
1,1,1,1,1,3,1,2,1,1,2,1,1,75,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,42,2
1,1,1,1,1,3,1,2,1,1,2,1,1,50,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,20,2
1,1,1,1,1,3,1,2,1,1,2,1,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,51,2
1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,1,1,1,20,"Unless someone above me (President/CEO) disagrees, I'm likely to view the $5 million we've already spent as a sunk cost and unenthusiastic chasing good money with bad.",1,2,1,37,1
1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,1,1,1,80,"Although the $5 million has already been spent and another product is on the market, there is a chance the other company's product will not operate correctly. I would recommend moving forward and completing the project.",2,1,1,30,1
1,1, , , , , , , , , , , , , ,1,1,1,3,2,2,1,2,1,1,1,10,4, , , , , , , , , , , , , ,33,1
1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,1,1,1,75,If you already spent that much go for it,1,1,1,19,1
1,1, , , , , , , , , , , , , ,1,1,1,3,2,2,1,2,1,1,1,80,4, , , , , , , , , , , , , ,32,1
1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,1,1,1,10,WOULD CONTINUE ONLY IF MODIFICATIONS COULD BE MADE TO IMPROVE UPON THE PRODUCT THAT HAS BEEN RELEASED ALREADY.  wOULD BE DIFFICULT TO LOSE ALL PROGRESS MADE.,1,1,1,50,2
1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,1,1,1,30,"Though the loss of time and money is painful, it doesn't make much sense to put even more time and money into a product that will be crushed by the competition.",1,2,1,37,2
1,1,1,1,1,3,1,2,1,1,2,1,1,25,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,57,2
1,1, , , , , , , , , , , , , ,1,1,1,3,2,2,1,2,1,1,1,90,2, , , , , , , , , , , , , ,35,1
1,1,1,1,1,3,1,2,1,1,2,1,1,25,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,30,1
1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,1,1,1,15,"Half the money is already spent, that's sunk cost, but we still have 5 million dollars left and 3 years to invest in something else that could be more profitable. There's not much point continuing to waste resources in a product that will be obsolete on arival.",1,2,1,35,2
1,1,1,1,1,3,1,2,1,1,2,1,1,75,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,30,2
1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,1,1,1,75,I would continue with the project. Competition is good and ill have to rely on the marketing team to up selling my project if it is truely not as good as the other companies and make some adjustment based on their mistakes,2,1,1,26,1
1,1,1,1,1,3,1,2,1,1,2,1,1,90,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,27,1
1,1,1,1,1,3,1,2,1,1,2,1,1,90,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,29,1
1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,1,1,1,75,I feel its more likely than not to have success with this project,1,2,2,26,1
1,1, , , , , , , , , , , , , ,1,1,1,3,2,2,1,2,1,1,1,20,5, , , , , , , , , , , , , ,23,2
1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,1,1,1,100,I am not a quitter and I will proceed with my work since we are halfway there. I believe there will always be competition and we have to keep at it,2,1,1,66,2
