EOC1_me,EOC1_other,DEC1_me,DEC1_other,esc1,manchk2,manchk1,birth,gender
 ,1, , ,75,1,5,9,1
1, , , ,0,5,3,10,2
 , , ,1,20,4,2,10,2
 ,1, , ,40,2,3,11,2
 , ,1, ,30,4,1,10,2
 ,1, , ,10,3,5,10,2
 , , ,1,100,1,1,10,1
1, , , ,100,1,2,11,2
1, , , ,85,1,2,11,1
 , , ,1,20,4,2,10,2
 , ,1, ,10,5,1,11,2
 ,1, , ,70,2,4,11,2
 ,1, , ,40,3,4,12,1
 , , ,1,78,4,2,9,1
 , ,1, ,20,5,3,10,1
 , , ,1,10,4,2,10,2
1, , , ,30,4,2,10,2
 , ,1, ,80,2,4,11,2
1, , , ,25,2,4,10,2
 ,1, , ,10,2,4,11,2
